"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"379.7049_80.4","24.6","1498988","24.6","12305080","24.6","24.6","24.6","308244.3","308244.3","308244.3","24.6","24.6","24.6","24.6","24.6","308244.3","308244.3","308244.3","308244.3","1622835","308244.3"
"379.9859_98.1","4770218","6867693","65436.2","6200074","728080.7","4254051","5842071","3861782","3272399.6","4142829","65436.2","2082042","65436.2","2281710","798635.3","4338133","24.6","1571764","809627.1","4348258","24.6"
"380.1105_103.9","1126265","1439291","406682.4","1544912","70377.1","1366349","1321964","1797079","685978.5","24.6","70377.1","1227551","70377.1","1295159","874126.9","2093712","24.6","542071.7","397332.5","6422726","24.6"
"380.218_34.6","110097.2","110097.2","10872980","146337.5","721060.7","110097.2","110097.2","24.6","24.6","2777826","873422.2","15609390","922159.5","5013044","4835311","2202587","1865685","6559322","3218451","15524920","561061.8"
"380.2523_28.8","8103.6","8103.6","2867789","8103.6","320333.7","8103.6","8103.6","19017.8","19017.8","1420673","597610.2","5175984","1108566","2377698","2365854","989962.8","732087.7","2624824","1711266","5552834","123049.4"
"380.8344_47.1","3705833","5800398","24.6","24.6","24.6","24.6","24.6","475515.2","1184493.4","475515.2","24.6","19792050","24.6","4339271","2788279","5184798","475515.2","5296557","10735040","3439404","522023.8"
"380.9834_213.6","2315602","3075182","2768014","9764806","522510.9","1471362","5544482","3622248","1696389.9","4224729","31561.8","2713583","31561.8","3798060","1529602","3463599","36608.8","2983253","36608.8","2612517","36608.8"
"381.0236_70.9","2135367","1328488","21047.8","1026447","21047.8","437620.8","1882117","1176054","4129811.4","32177.5","21047.8","255391.1","21047.8","3894659","21047.8","2279818","32177.5","3625795","32177.5","2815213","32177.5"
"381.0795_94","18710760","7264680","4566753","9882702","1410778","4892467","8291482","11521500","7865293.7","1916849","561236.1","9284785","807930.5","44128910","6184234","18344780","1648143","11811340","6373684","27371640","1458535.6"
"382.0827_94.9","1954831","592409.9","677764.3","744882.3","2322703","206155.4","1929460","1412032","1776553.3","28108.8","12699.5","12699.5","12699.5","5253052","779208.9","2079867","157070.7","1342392","677626.8","3287078","15963.1"
"382.7301_85.3","2362083","2872880","2661981","8560684","3453387","3250659","4830814","7094332","2728245","2916904","4907430","4896972","5626109","6353076","2726909","12417700","2959566","2521561","11897300","4151686","6020823"
"382.8319_47.8","1924143","3179670","252937.4","252937.4","252937.4","252937.4","252937.4","24.6","24.6","24.6","252937.4","6735438","252937.4","2114755","2439307","11572220","24.6","3386902","4434870","24.6","24.6"
"383.0774_94.6","1971020","18391","18391","18391","18391","18391","18391","913686.2","442064.2","24.6","56817.3","18391","18391","3088918","442376.6","24.6","24.6","794432.1","255601.1","2803350","24.6"
"383.1246_70.9","43578.8","43578.8","43578.8","43578.8","43578.8","43578.8","43578.8","24.6","24.6","24.6","43578.8","43578.8","43578.8","43578.8","43578.8","24.6","24.6","2197128","24.6","24.6","24.6"
"383.2043_25.5","338866.8","366201.9","730902.9","513733.4","499781.2","60804.3","677843.5","267267.2","24.6","24.6","966743.6","413452.5","12626.7","173020.5","12626.7","24.6","24.6","1189759","1428272","3877795","24.6"
"383.2191_26.4","24.6","24.6","24.6","137155.5","24.6","24.6","24.6","23787.7","23787.7","23787.7","24.6","24.6","24.6","24.6","18612","23787.7","23787.7","23787.7","3102875","23787.7","361036.9"
"383.3153_26.4","809768.8","49699.3","49699.3","49699.3","249553.3","49699.3","49699.3","800143.1","24.6","24.6","49699.3","172056.5","517964.5","201775.7","265084.2","24.6","879648.9","24.6","24.6","1085700","418303.8"
"383.9654_86.7","10748280","24.6","4637383","24.6","24.6","24.6","24.6","2274467","860396.3","1871275","24.6","24.6","24.6","24.6","8343692","511588","511588","895922.1","680171.8","511588","511588"
"384.2384_27.5","589757.7","477240.2","1792330","433970.3","583761.1","1813754","1226634","2046485","3206000.3","7547617","640356","24.6","863451.2","24.6","419182.2","617030.7","497294.7","81199.8","105597.5","81199.8","81199.8"
"384.3062_27","841861.4","718235.2","30872.4","635401.6","455346.3","822535.9","998089.1","786117.8","24.6","457989.1","755635.8","463564","753153.6","753579.1","732814.7","555062.3","904438.1","741042.5","912501.7","188690.1","886731.5"
"384.9373_62","48392.9","2257548","2838310","3993898","2473847","6498552","1841203","24.6","1451007.9","1770844","1972037","1677408","2977109","4492454","1592599","2199597","2587307","671695","24.6","24.6","2553589.4"
"385.1289_93.6","1039947","558434.2","24.6","1266994","24.6","675419.1","1983976","1328757","605400.3","16002.9","24.6","491059.8","24.6","1009063","2592241","761250.6","112832","834278.9","500197.7","3127023","16002.9"
"385.2446_32","1120610","582335.6","21277880","807449.4","3099988","426210","250754.1","24.6","2120134.3","13754100","359356.3","1822390","86856.3","693538.2","1696150","68772.6","1738595","2029970","1035715","3269634","24.6"
"385.879_68.4","259377","168560.2","168560.2","168560.2","168560.2","1900186","1980044","1953158","1645802.7","4136693","168560.2","168560.2","1842084","1885894","1735132","2285003","24.6","1052400","2367145","2538121","2966387.9"
"385.9109_70.1","16508.5","355854.3","16508.5","295870","16508.5","16508.5","4820627","1563709","802860.4","24.6","16508.5","16508.5","16508.5","392688.8","16508.5","555931.8","24.6","537105.3","192273.8","430233.4","24.6"
"386.0261_110.9","3231425","1300961","3166134","1461047","68339.3","6230204","2538442","1830808","728445.3","2856686","68339.3","1105764","68339.3","2085934","1096665","1737643","24.6","2136371","591642.3","8473071","24.6"
"386.2081_26.4","36150.9","102725.1","1603247","677563.9","1043646","757403.6","1445032","902244.3","24.6","1184250","1248345","1129579","1528555","1656027","370072.2","24.6","757768.7","1108976","1073836","2080007","778373.9"
"386.8133_90","3827910","1803258","2294928","464503.2","5828933","287005.4","11530.8","4871925","123704","1366358","3087144","1545081","1351800","11530.8","1712854","912835.1","123704","1173598","3680850","123704","348224.3"
"387.1801_26.7","14321190","8078391","16362430","9123459","11814320","13605480","13424960","17784920","24663358","23706640","13030870","9775063","15790040","17808920","22381990","11754960","22303530","18046400","23309760","13487600","29387735"
"387.1931_26.5","15954620","7129528","21714380","7340353","11315030","15498350","13821260","13977820","13676651","9115742","11572060","8961543","15968740","18370800","12475260","4304338","13628840","8871944","15710230","8388651","15885880"
"387.2271_283.9","46709.5","1150498","46709.5","937269.8","46709.5","46709.5","1365551","2378588","1260338","594154.3","46709.5","1252113","46709.5","1186797","1891619","16628.6","16628.6","1029326","602424.3","4723398","16628.6"
"387.2602_33.2","142430.5","532061.7","25429710","290062.6","4562701","142430.5","142430.5","24.6","24.6","10208830","2914489","24281560","1685278","7512484","6383685","7641367","4077825","16662500","6071130","28181760","889381.2"
