"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"646.0209_222.8","-2.02747449","-2.02747449"," 0.46251525"," 0.73672570"," 0.73516033"," 0.90156964"," 0.83250215"," 0.42518696"," 0.04404430"," 0.05867569","-0.99510481"," 0.70489686","-0.97700404"," 0.51031719","-2.02747449"," 0.70738292"," 0.28425119"," 0.72647795","-0.30207568"," 0.72279997"," 0.50410188"
"646.1289_86.4"," 1.87549984"," 0.14174247"," 0.01191935"," 0.14576249"," 0.58360102"," 0.18103284"," 0.10849749","-0.57589653","-0.51942276"," 1.98845749"," 0.88572538"," 0.05800943"," 0.88572538","-0.19002805"," 0.32068811","-0.73646498","-0.13550505","-1.93663891","-1.88232903","-1.38047834"," 0.17010235"
"646.5698_53.8","-0.16495891"," 0.23149884","-0.80457483"," 0.42335879"," 0.84889641"," 0.20580662"," 0.05766803","-2.21633367"," 0.73409000"," 0.26495876"," 1.60144440","-1.92407898"," 1.63993384","-0.35097156"," 0.51349064"," 0.33244452"," 0.47217502","-0.04836013"," 0.51699620","-0.90551094","-1.42797306"
"647.4134_27.1","-1.280885980","-1.280885980","-1.280885980","-1.280885980","-1.251094826","-1.280885980","-1.280885980"," 0.473809647"," 0.537712310"," 0.855653645","-0.396999714"," 1.084673976"," 1.404043680"," 0.977701534"," 0.692399384"," 0.400532069"," 0.745729116","-0.002707613"," 0.255474103"," 0.980719568"," 0.927669002"
"647.4587_70.9","-1.09277269","-0.90367257","-0.71940768","-0.82198581"," 0.82107507"," 0.80886695","-0.15749465"," 0.90759709"," 0.47674411","-0.01665886","-0.18005719","-1.16691619"," 1.21619320"," 0.75610551"," 0.89906371"," 0.14651438"," 0.32248699"," 0.30528068"," 0.93881953"," 0.43494751","-2.97472908"
"647.5583_89.6"," 0.48344238","-1.51258373"," 0.30752029","-1.45459309","-0.57035336","-1.38255050","-1.55869002"," 0.68253233"," 1.19160415"," 0.61998028"," 0.02728458","-1.09058155"," 0.03942410"," 0.61998028"," 0.92305594"," 0.22799017"," 1.33051351"," 0.80308297"," 0.78439663","-1.39974626"," 0.92829092"
"648.5466_54.4"," 0.87326722"," 0.91109650"," 0.27696572","-0.61334382"," 1.22774108","-0.23434440","-0.74236939"," 0.32485213"," 1.01135804","-0.22243615"," 0.17209635","-0.90378502"," 0.67773038","-1.28893712"," 0.32422932","-3.27073118"," 0.47267373","-0.09880496"," 0.45108730","-0.02364318"," 0.67529745"
"649.219_250.2","-1.0390253","-0.8199019","-1.1037202","-0.8167076"," 0.1246655","-0.7606043","-0.8802667"," 1.1805956","-0.3299993","-0.1867500"," 0.7429013","-0.9816968"," 0.7394927","-1.5084662"," 1.4842340"," 0.7754638"," 0.3103518","-0.6267487"," 2.1414321"," 0.6534125"," 0.9013378"
"649.4651_78.2","-0.47975126"," 2.16410764","-0.63419228","-0.16709882"," 0.37506676","-0.15622269","-0.30253869"," 1.54109710"," 0.22252533","-0.96679937"," 0.83907550","-0.59202568"," 1.65335284","-1.09007296","-0.28276018","-1.33118197","-0.53860733"," 0.92112670"," 0.48644579","-1.68417826"," 0.02263183"
"650.4812_47.9","-1.52247715"," 0.96553970","-0.18108208"," 0.38582192"," 0.65325015"," 0.42429249"," 0.21418268"," 0.64227330","-1.51535061"," 0.39097566"," 2.04834952"," 0.51672916"," 1.24492102","-1.43335301","-1.51307098"," 0.70883977","-1.02170314","-0.03051301","-1.00396285"," 0.27947724","-0.25313978"
