"","Fold Change","log2(FC)"
"251.9333_70.1",3.609,1.8516
"594.672_64",0.27728,-1.8506
"576.2834_58.7",3.6059,1.8504
"354.9403_46.9",3.6057,1.8503
"309.0945_76.4",3.6051,1.85
"230.0789_94.3",3.6002,1.8481
"234.0012_181.2",3.5964,1.8466
"264.95_58.5",0.27851,-1.8442
"394.2338_31.9",0.27873,-1.843
"189.1791_88.9",3.5842,1.8417
"363.052_65.9",0.27902,-1.8416
"200.6186_289.7",0.27944,-1.8394
"235.1482_126.4",0.28081,-1.8323
"375.13_36.5",3.5601,1.8319
"303.2109_33",0.282,-1.8262
"427.5491_289.9",3.5401,1.8238
"581.9909_175.6",0.28274,-1.8225
"480.6101_55.4",0.2829,-1.8216
"149.0744_30.7",3.532,1.8205
"144.6052_90.2",0.28345,-1.8189
"185.0922_18.8",3.5247,1.8175
"499.9712_66.3",3.5209,1.8159
"345.9232_70.6",3.5206,1.8158
"316.2232_32.9",0.28456,-1.8132
"503.2697_103.9",0.28495,-1.8112
"283.1016_94.4",3.5074,1.8104
"313.0229_48.7",0.28549,-1.8085
"360.2127_37.1",0.28723,-1.7997
"516.3385_34.2",0.28744,-1.7987
"368.1605_32",0.28763,-1.7977
"638.2698_45",0.28858,-1.793
"417.8796_70.6",3.4646,1.7927
"332.2179_35.9",0.28871,-1.7923
"380.218_34.6",0.28896,-1.7911
"241.1798_28.3",3.4567,1.7894
"313.4862_132.3",3.4545,1.7885
"924.0856_59.3",0.29021,-1.7848
"202.6343_286",0.29101,-1.7808
"442.2898_38.2",0.29186,-1.7766
"492.71_66.4",0.29213,-1.7753
"514.3605_27.8",0.29286,-1.7717
"282.1529_34.9",0.29344,-1.7689
"106.9858_196.6",3.4061,1.7681
"344.2544_28.4",0.2938,-1.7671
"722.8879_59.9",0.29395,-1.7664
"151.0867_19.9",3.3842,1.7588
"351.8902_64.8",3.3791,1.7566
"193.5402_133.4",3.3781,1.7562
"793.8763_98.1",3.373,1.754
"349.2002_26.8",3.3726,1.7539
"195.1514_267.3",0.29652,-1.7538
"319.2055_35.8",0.2966,-1.7534
"238.1473_105.3",0.29714,-1.7508
"324.0015_103.3",0.29774,-1.7479
"499.7343_288.5",3.3562,1.7468
"212.1025_69.6",3.3521,1.7451
"783.9573_56.1",0.29838,-1.7448
"336.1917_34.3",0.29855,-1.744
"200.0975_96.1",0.29878,-1.7428
"105.1174_41.9",0.29887,-1.7424
"508.7981_60.4",0.29901,-1.7417
"288.1918_22.2",0.29989,-1.7375
"218.0671_99",3.3324,1.7366
"385.2446_32",3.3321,1.7364
"255.1645_43.3",3.3303,1.7356
"286.971_70.8",3.3262,1.7339
"557.9452_27.6",0.30092,-1.7325
"311.0398_42.2",3.3204,1.7314
"299.2007_27.2",0.30185,-1.7281
"445.2657_35.5",0.30245,-1.7252
"242.0052_131.5",3.3061,1.7251
"333.0174_72.5",3.304,1.7242
"280.1546_40.4",0.30287,-1.7232
"487.3125_33.5",0.3029,-1.7231
"124.5915_94.8",0.30308,-1.7222
"330.2387_30.1",0.30375,-1.719
"629.9529_99",3.2911,1.7185
"507.2825_32",0.30427,-1.7166
"209.1319_289.4",0.30437,-1.7161
"152.0552_48.6",3.2816,1.7144
"221.0955_39.3",0.30479,-1.7141
"247.1915_29.9",0.30488,-1.7137
"438.754_66.7",0.30603,-1.7083
"341.8631_49.1",0.30647,-1.7062
"744.5393_53.4",0.30687,-1.7043
"270.1923_92.9",0.30709,-1.7033
"187.132_94.2",0.3084,-1.6971
"167.086_29.4",3.2394,1.6957
"180.0146_71",0.30909,-1.6939
"618.9517_60.2",0.30914,-1.6937
"313.1547_30.5",0.30937,-1.6926
"605.8474_68.9",3.231,1.692
"816.4771_55.2",0.30967,-1.6912
"246.1832_30.6",0.31077,-1.6861
"200.0406_117.1",3.2171,1.6857
"322.1763_34.9",0.31108,-1.6846
"408.2129_34",0.31119,-1.6842
"285.1696_28",0.31161,-1.6822
"168.0999_126.9",0.31216,-1.6796
"473.2972_35",0.31256,-1.6778
"256.1765_113.7",0.31303,-1.6756
"517.0129_95.5",3.1927,1.6748
"174.1181_98.3",0.31341,-1.6739
"158.1051_288.4",0.31349,-1.6735
"782.9599_54",0.3141,-1.6707
"772.5815_36.3",0.31443,-1.6692
"512.3446_29.7",3.1802,1.6691
"237.6554_94.3",0.31465,-1.6682
"1143.21_53.9",0.31491,-1.667
"142.0265_116.9",3.1748,1.6666
"861.5468_31.5",0.31509,-1.6662
"407.2286_33.8",0.31571,-1.6633
"193.1133_285.9",0.31581,-1.6629
"688.5213_29.7",0.31628,-1.6607
"202.1464_271.8",0.31634,-1.6604
"110.0502_105.2",3.1567,1.6584
"282.9521_33.1",0.31724,-1.6563
"751.4096_43.2",0.31744,-1.6554
"253.5129_133.5",3.1433,1.6523
"202.9904_30.8",0.31866,-1.6499
"1212.8171_30.1",0.31894,-1.6486
"313.5655_131.8",0.31903,-1.6482
"580.2962_26.7",3.128,1.6453
"300.01_69.1",3.1262,1.6444
"124.9998_123.2",3.1251,1.6439
"393.2132_36.2",0.3201,-1.6434
"379.9859_98.1",3.1212,1.6421
"613.4286_27",0.32038,-1.6421
"264.0397_294.8",3.1188,1.641
"249.1268_34.3",0.32076,-1.6404
"899.6579_36.9",3.1124,1.638
"186.1364_272.7",0.32132,-1.6379
"345.2577_27.5",0.32164,-1.6365
"684.1946_37.3",0.32167,-1.6363
"184.1188_125.8",3.1083,1.6361
"459.2809_34",0.32211,-1.6344
"207.9525_70.5",3.1041,1.6342
"493.3023_29.7",0.32228,-1.6336
"154.5557_133.6",3.1012,1.6328
"823.8491_81.7",3.0984,1.6315
"582.2209_41.9",0.32289,-1.6309
"205.1295_110.2",3.0939,1.6294
"465.271_33",0.32339,-1.6286
"214.0609_251.9",0.32347,-1.6283
"643.1618_108.5",3.0906,1.6279
"175.1161_107.6",3.0869,1.6262
"415.3784_27.3",0.32402,-1.6258
"464.1101_46.5",3.0852,1.6254
"319.085_70.9",3.082,1.6238
"226.0798_87",3.0785,1.6222
"356.7531_49.5",0.32484,-1.6222
"300.0593_132.8",0.32501,-1.6215
"366.2024_37",0.32524,-1.6204
"216.14_289.2",0.32537,-1.6199
"695.8992_97.9",3.0733,1.6198
"270.9442_47.8",0.32564,-1.6187
"596.8084_59.6",0.3257,-1.6184
"166.6183_287.7",0.3259,-1.6175
"214.9556_43.5",3.0682,1.6174
"719.8644_84.5",3.0635,1.6152
"358.2701_26.9",0.32662,-1.6143
"384.2384_27.5",3.0607,1.6139
"187.1441_92.3",0.32676,-1.6137
"103.5091_39.7",3.0565,1.6119
"491.3226_27.1",0.32774,-1.6094
"362.1274_71.3",3.0447,1.6063
"230.2115_27.2",0.32871,-1.6051
"90.0705_71.1",3.0407,1.6044
"368.1946_28.3",0.329,-1.6038
"359.921_70.7",3.038,1.6031
"592.3709_29",0.32951,-1.6016
"612.3679_26.2",0.33002,-1.5994
"424.0652_71.3",3.0292,1.5989
"362.2032_128.3",0.33016,-1.5988
"399.1446_133.3",3.0255,1.5972
"570.2189_100.1",3.0247,1.5968
"619.9572_268.5",3.022,1.5955
"1274.6074_25.3",0.33091,-1.5955
"862.9928_60",0.33101,-1.5951
"266.1584_31.2",0.33184,-1.5915
"339.1931_285",3.0108,1.5902
"147.5942_91.8",0.3322,-1.5899
"166.0532_85.1",0.33245,-1.5888
"665.1201_284.6",3.0065,1.5881
"92.4652_62.5",2.9979,1.5839
"801.5338_26.2",2.9976,1.5838
"215.016_86.1",0.33393,-1.5824
"283.988_72.5",2.9888,1.5796
"402.0091_125.2",2.9826,1.5766
"215.0095_77.1",0.33626,-1.5724
"667.326_65.7",0.33673,-1.5703
"206.0554_129.4",2.9677,1.5694
"397.3677_27.1",0.33718,-1.5684
"319.1723_123.9",0.33789,-1.5654
"740.5224_32.2",0.33867,-1.5621
"570.2352_27.9",0.33886,-1.5612
"1016.064_49.4",0.33902,-1.5605
"253.1523_29.4",0.3391,-1.5602
"185.0768_131.5",2.9475,1.5595
"659.3902_27.6",0.33931,-1.5593
"433.9419_76.5",2.9467,1.5591
"464.9109_68.3",0.3394,-1.559
"359.8999_70.2",2.9453,1.5584
"617.9878_105.5",2.9441,1.5578
"604.4063_19.5",0.34017,-1.5557
"490.8258_59.7",0.34057,-1.554
"484.1004_41.6",2.9345,1.5531
"282.0498_125.5",2.9325,1.5521
"563.8628_70.5",2.9308,1.5513
"479.1214_40.6",2.9199,1.5459
"200.1085_286.6",0.34255,-1.5456
"691.5073_30.1",0.34323,-1.5428
"735.3352_29.2",2.912,1.542
"195.9774_72.1",2.9116,1.5418
"406.731_55.6",0.34356,-1.5414
"719.2609_94.1",0.34361,-1.5412
"100.5789_103.1",2.9099,1.541
"427.8668_71.9",2.9079,1.54
"639.9043_66.3",0.34418,-1.5388
"100.5915_95",0.34475,-1.5364
"222.0292_125.6",2.8975,1.5348
"186.0775_126.5",2.8946,1.5334
"528.3757_27.3",0.34554,-1.5331
"368.2561_26.3",0.3456,-1.5328
"432.1928_31.7",2.8904,1.5313
"87.1583_110.9",2.8898,1.531
"219.6393_277.1",0.34641,-1.5295
"188.6313_287.7",0.34663,-1.5285
"750.5427_30.8",0.34728,-1.5258
"267.1711_20.8",0.34746,-1.5251
"115.1059_95.8",2.877,1.5245
"160.0798_88.1",0.34829,-1.5216
"433.854_70.8",2.8708,1.5215
"301.1191_30.2",2.8645,1.5183
"604.983_108.8",2.8644,1.5182
"416.2948_29.3",0.34929,-1.5175
"138.0429_41.8",2.8559,1.514
"461.2605_38.6",0.35042,-1.5128
"455.9809_98.6",2.8449,1.5084
"116.6113_64.5",0.35203,-1.5062
"268.1026_137",2.8366,1.5042
"479.524_289.8",2.8361,1.5039
"791.9588_106.5",2.8344,1.503
"532.2325_114.5",2.834,1.5028
"345.2132_39.1",0.35289,-1.5027
"250.913_45.4",2.8332,1.5024
"113.3901_110.4",2.8304,1.501
"830.7906_97.4",0.35342,-1.5006
"753.5258_29.9",2.8281,1.4998
"419.9259_80.3",2.8261,1.4988
"160.0428_176.1",2.8252,1.4983
"216.0195_100.3",2.8249,1.4982
